ID,Date,Address,City,State,Zip,Num of Units,Comments,Completion Status,Units Category,High Unit Count,Long,Lat
264,10/28/2022 7:57,1151 El Centro St,South Pasadena,CA,91030,0,Is a commercial property.,Denied Entry,,< 14 units,-118.1541376,34.11458728
265,10/28/2022 8:01,1401 Mission St,South Pasadena,CA,91030,0,Gate locked.,Denied Entry,,< 14 units,-118.152751,34.11548301
266,41:52.6,628 Orange Grove Ave ,South Pasadena,CA,91030,0,Purple parcel,In Progress,,< 14 units,-118.1602044,34.11811622
267,42:58.5,608 Orange Grove Ave ,South Pasadena,CA,91030,0,Purple parcel,In Progress,,< 14 units,-118.1601844,34.11852605
268,45:55.5,830 Monterey Rd,South Pasadena,CA,91030,24,None,Verified,10+ units,14+ units,-118.1597804,34.11215611
269,48:15.5,804 Orange Grove Pl,South Pasadena,CA,91030,4,"Also with 806, 808, and 810 Orange Grove Pl.",Verified,4-6 units,< 14 units,-118.1609316,34.11381706
270,51:33.3,1200 Indiana Ave ,South Pasadena,CA,91030,43,Also with 1202 and 1204 Indiana Ave ,Verified,10+ units,14+ units,-118.164213,34.11114198
271,10/29/2022,1424 Oxley St,South Pasadena,CA,91030,4,"Also with 1011, 1013, and 1015 Mound Ave ",Verified,4-6 units,< 14 units,-118.1519508,34.11397346
272,10/29/2022 0:07,1100 Fremont Ave,South Pasadena,CA,91030,5,"Also with 1405, 1407, 1409, and 1411 Oxley St.",Verified,4-6 units,< 14 units,-118.152789,34.113576
273,10/29/2022 0:09,1105 Mound Ave,South Pasadena,CA,91030,0,Resident,In Progress,,< 14 units,-118.1520047,34.11346594
274,10/29/2022 0:10,1101 Mound Ave,South Pasadena,CA,91030,0,Resident,In Progress,,< 14 units,-118.152011,34.11358921
275,10/29/2022 0:13,1424 Monterey Rd,South Pasadena,CA,91030,5,None,Verified,4-6 units,< 14 units,-118.1521186,34.1122441
276,10/29/2022 0:16,1132 Fremont Ave,South Pasadena,CA,91030,13,None,Verified,10+ units,< 14 units,-118.1529096,34.11251097
