ID,Date,Address,City,State,Zip,Num of Units,Comments,Completion Status,Units Category,High Unit Count,Long,Lat
128,7/23/2022 5:27,631 Orange Grove Ave,South Pasadena,CA,91030,4,None,Verified,4-6 units,< 14 units,-118.1608438,34.11838054
129,7/23/2022 5:33,617 Orange Grove Ave,South Pasadena,CA,91030,14,Also with 615 Orange Grove Ave,Verified,10+ units,14+ units,-118.1607169,34.11876113
130,7/23/2022 5:36,646 Orange Grove Ave,South Pasadena,CA,91030,0,Did not attempt. Gate locked.,Denied Entry,,< 14 units,-118.1601849,34.11780804
131,7/23/2022 5:45,807 Prospect Ave,South Pasadena,CA,91030,16,None,Verified,10+ units,14+ units,-118.1587458,34.11631294
132,7/23/2022 5:49,715 Prospect Ave,South Pasadena,CA,91030,19,None,Verified,10+ units,14+ units,-118.158727,34.1168556
133,7/23/2022 5:50,714 Prospect Ave,South Pasadena,CA,91030,10,None,Verified,10+ units,< 14 units,-118.1583736,34.11681758
134,7/23/2022 5:56,727 Meridian Ave,South Pasadena,CA,91030,24,Also with 929 Magnolia St,Verified,10+ units,14+ units,-118.15729,34.11693221
135,7/23/2022 6:00,801 Meridian Ave,South Pasadena,CA,91030,20,None,Verified,10+ units,14+ units,-118.157297,34.11657664
136,55:56.4,1916 Huntington Dr,South Pasadena,CA,91030,0,Units 1-4 on mailbox. Unit 5 in back of property. Entrance in front locked.,Denied Entry,,< 14 units,-118.1434939,34.10452234
137,08:47.5,1712 Huntington Dr ,South Pasadena,CA,91030,14,None,Verified,10+ units,14+ units,-118.1461095,34.10439671
138,20:51.4,1644 Huntington Dr ,South Pasadena,CA,91030,0,Mapped 12 units but one entrance was locked. 4 units missing? Spoke to resident.,Denied Entry,,< 14 units,-118.1477396,34.10441855
139,23:12.1,1638 Huntington Dr ,South Pasadena,CA,91030,12,Also with 1636 and 1640 Huntington Dr.,Verified,10+ units,< 14 units,-118.1480949,34.10438865
140,46:02.7,1612 Huntington Dr ,South Pasadena,CA,91030,12,Also with 1616 Huntington Dr. 1616 address had both entrances locked.,Verified,10+ units,< 14 units,-118.1490654,34.1044507
